,ident,Code,Adresse,Surface,Type,Tutelle pédagogique,Statut
448,75015008,75015,140 rue de Lourmel,29653.0,Université,Enseignement Supérieur,Public
449,75015010,75015,63/69 rue Olivier de Serres,7269.0,Autre,Enseignement Supérieur,Public
450,75015015,75015,37 quai de Grenelle,7784.0,Grande Ecole (conférence),Education Nationale,Privé
451,75015017,75015,391/393  rue de Vaugirard,3591.0,Université,Enseignement Supérieur,Public
453,75015020,75015,3 rue Armand Moisant,18000.0,,,
454,75016005,75016,80/104 avenue du Président Kenney,15434.0,Université,Enseignement Supérieur,Public
455,75016007,75016,22 avenue du Président Wilson,689.0,Grand Etablissementt,Enseignement Supérieur,Public
456,75016008,75016,22 avenue du Président Wilson,689.0,Grand Etablissementt,Enseignement Supérieur,Public
457,75018002,75018,46 rue Henri Huchard,23120.0,Université,Santé,Public
458,75018003,75018,133 bd Ney,898.0,Autre,Santé,Public
459,75019001,75019,72/80 rue Rebeval,1378.0,Autre,Aménagement & développement durable,Public
460,75019004,75019,32/48 bd Sérurier,31709.0,Université,Enseignement Supérieur,Public
461,75020002,75020,4 rue de la Chine,45605.0,Autre,Santé,Public
467,77420008,77420,"6 et 8 avenue Blaise Pascal
Champs-sur-Marne",44900.0,Grande Ecole (conférence),Enseignement Supérieur,Public
523,93210003,93210,"61 rue du Landy
La Plaine Saint-Denis",18102.0,Grand Etablissementt,Enseignement Supérieur,Public
